TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,16393,75,16,16D,163,0,VARS,Vars,Vars,1605,NA
COM,16394,75,16,16D,161,0,VAUX LAVALETTE,Vaux-Lavalette,Vaux-Lavalette,1617,NA
COM,16395,75,16,16D,162,0,VAUX ROUILLAC,Vaux-Rouillac,Vaux-Rouillac,1618,NA
COM,16396,75,16,16D,163,0,VENTOUSE,Ventouse,Ventouse,1605,NA
COM,16397,75,16,16D,163,0,VERDILLE,Verdille,Verdille,1608,NA
COM,16398,75,16,16D,163,0,VERNEUIL,Verneuil,Verneuil,1606,NA
COM,16399,75,16,16D,162,0,VERRIERES,Verrières,Verrières,1607,NA
COM,16400,75,16,16D,163,0,VERTEUIL SUR CHARENTE,Verteuil-sur-Charente,Verteuil-sur-Charente,1608,NA
COM,16401,75,16,16D,163,0,VERVANT,Vervant,Vervant,1605,NA
COM,16402,75,16,16D,162,0,VIBRAC,Vibrac,Vibrac,1607,NA
COM,16403,75,16,16D,163,2,VIEUX CERIER,Vieux-Cérier,Le Vieux-Cérier,1606,NA
COM,16404,75,16,16D,163,0,VIEUX RUFFEC,Vieux-Ruffec,Vieux-Ruffec,1606,NA
COM,16405,75,16,16D,162,0,VIGNOLLES,Vignolles,Vignolles,1609,NA
COM,16406,75,16,16D,161,0,MOULINS SUR TARDOIRE,Moulins-sur-Tardoire,Moulins-sur-Tardoire,1619,NA
COM,16408,75,16,16D,161,0,VILLEBOIS LAVALETTE,Villebois-Lavalette,Villebois-Lavalette,1617,NA
COM,16409,75,16,16D,163,0,VILLEFAGNAN,Villefagnan,Villefagnan,1608,NA
COM,16412,75,16,16D,163,0,VILLEJOUBERT,Villejoubert,Villejoubert,1605,NA
COM,16413,75,16,16D,163,0,VILLIERS LE ROUX,Villiers-le-Roux,Villiers-le-Roux,1608,NA
COM,16414,75,16,16D,163,0,VILLOGNON,Villognon,Villognon,1605,NA
COM,16415,75,16,16D,161,0,VINDELLE,Vindelle,Vindelle,1618,NA
COM,16416,75,16,16D,163,0,VITRAC SAINT VINCENT,Vitrac-Saint-Vincent,Vitrac-Saint-Vincent,1606,NA
COM,16418,75,16,16D,161,0,VOEUIL ET GIGET,Vœuil-et-Giget,Vœuil-et-Giget,1604,NA
COM,16419,75,16,16D,163,0,VOUHARTE,Vouharte,Vouharte,1605,NA
COM,16420,75,16,16D,161,0,VOULGEZAC,Voulgézac,Voulgézac,1604,NA
COM,16421,75,16,16D,161,0,VOUTHON,Vouthon,Vouthon,1619,NA
COM,16422,75,16,16D,161,0,VOUZAN,Vouzan,Vouzan,1604,NA
COM,16423,75,16,16D,163,0,XAMBES,Xambes,Xambes,1605,NA
COM,16424,75,16,16D,161,1,YVIERS,Yviers,Yviers,1617,NA
COM,16425,75,16,16D,161,1,YVRAC ET MALLEYRAND,Yvrac-et-Malleyrand,Yvrac-et-Malleyrand,1619,NA
